Edad,Varones,Mujeres,Varones,Mujeres,Varones,Mujeres,Varones,Mujeres,Varones,Mujeres,Varones,Mujeres,Varones,Mujeres,Varones,Mujeres,Varones,Mujeres,Varones,Mujeres,Varones,Mujeres,Varones,Mujeres,Varones,Mujeres,Varones,Mujeres
69,3011,1469,304,141,279,116,280,124,222,110,248,108,219,115,229,131,236,124,221,109,245,131,237,120,289,140,3011,1469
70,3614,1695,372,183,341,174,336,178,281,153,290,126,289,119,292,113,268,123,257,136,261,117,283,138,343,134,3614,1695
71,3653,1802,278,136,245,115,298,137,314,143,296,150,334,141,292,152,292,138,295,143,301,181,332,168,376,197,3653,1802
72,3391,1740,353,166,314,187,308,144,274,142,269,167,235,135,269,149,231,134,244,127,306,127,265,119,322,142,3391,1740
73,4188,2204,462,209,416,198,394,197,339,200,332,194,320,169,313,156,305,198,315,152,330,162,311,177,354,191,4188,2204
74,4911,2794,545,291,429,247,459,247,373,223,425,222,400,235,389,210,374,214,356,190,401,238,313,238,449,238,4911,2794
75,5218,3304,453,306,459,281,486,299,422,274,402,264,402,257,452,265,423,266,414,236,391,271,415,278,501,305,5218,3304
76,5819,3541,588,329,524,303,551,319,494,311,487,265,428,283,395,277,434,272,408,293,481,286,463,291,567,312,5819,3541
77,6203,4222,650,415,529,400,589,339,481,340,516,316,401,303,480,343,491,348,458,290,500,355,527,362,581,413,6203,4222
78,6773,4786,644,448,534,443,586,428,517,339,583,350,553,362,549,386,558,390,500,361,531,392,558,402,660,488,6773,4786
79,6918,5339,640,491,615,497,639,477,543,406,560,424,591,388,568,437,525,415,478,401,514,456,571,439,674,509,6918,5339
80,7397,5890,704,567,658,511,675,513,580,471,634,467,576,484,570,447,552,487,536,420,624,468,592,482,695,574,7397,5890
81,7583,6517,719,594,662,579,654,594,597,509,652,497,596,436,611,516,558,542,557,512,635,533,607,565,735,640,7583,6517
82,7633,6970,773,656,675,612,625,639,585,577,614,520,593,517,565,542,665,557,527,545,612,589,641,560,758,656,7633,6970
83,7474,7605,688,765,648,662,700,694,592,606,557,598,564,548,612,601,581,567,538,545,632,600,640,656,722,761,7474,7605
84,7366,8275,742,848,625,709,707,742,642,690,585,664,568,620,514,616,593,700,529,614,593,644,596,642,672,787,7366,8275
85,7265,8548,701,850,630,728,669,729,631,639,559,669,545,628,560,665,567,699,515,661,569,659,583,739,736,881,7265,8548
86,7022,8868,683,935,677,789,618,791,527,700,530,721,554,649,541,707,526,677,531,634,568,694,593,727,675,843,7022,8868
